video;train_type
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306000736.mp4;RABe 511
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306002624.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306003946.mp4;Lok
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306044445.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306045622.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306053713.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306054731.mp4;unknown
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306055315.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306060110.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306062254.mp4;DPZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306063716.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306065337.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306070103.mp4;RABe 511 x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306072726.mp4;DPZ x3
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306073830.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306075327.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306080608.mp4;EC/IC/IR x10
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306082359.mp4;DPZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306083853.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306085433.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306090055.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306092340.mp4;DPZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306093940.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306095356.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306100726.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306102459.mp4;DPZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306103737.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306105548.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306110714.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306112359.mp4;G�ter
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306113823.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306115325.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306120104.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306122452.mp4;DPZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306123712.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306125422.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306130047.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306132321.mp4;DPZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306133056.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306135312.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306140053.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306142328.mp4;DPZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306143748.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306145415.mp4;DTZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306150049.mp4;RABe 511
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306152349.mp4;DPZ
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306153729.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260306\ADTC Rueschlikon_00_20260306155351.mp4;DTZ
