video;train_class;train_type
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308000837.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308002356.mp4;RABe 511;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308003801.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308014501.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308024454.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308034515.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308044431.mp4;RABe 511;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308045625.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308053725.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308054626.mp4;RABe 511;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308055237.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308060729.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308062350.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308063720.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308065439.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308070742.mp4;DTZ x2;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308072335.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308073721.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308075325.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308080724.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308082310.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308083715.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308085527.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308090756.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308092301.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308093754.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308095259.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308100712.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308102324.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308103722.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308105502.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308110847.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308112505.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308113830.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308115337.mp4;DTZ;Trieb
c:\git\RailwAI\VIDEO\20260308\ADTC Rueschlikon_00_20260308120739.mp4;DTZ;Trieb
