file,timestamp_raw,timestamp,timestamp_serie,delta_t,velocity,length,total_length,first_peak_raw
ADTC_8_adz_raw_20260307_0010,2026-03-07 00:06:59.822,2026-03-07 00:07:09.868,"[Timestamp('2026-03-07 00:07:09.868000'), Timestamp('2026-03-07 00:07:09.976000'), Timestamp('2026-03-07 00:07:10.692000'), Timestamp('2026-03-07 00:07:10.800000'), Timestamp('2026-03-07 00:07:10.978000'), Timestamp('2026-03-07 00:07:11.098000'), Timestamp('2026-03-07 00:07:11.886000'), Timestamp('2026-03-07 00:07:11.996000'), Timestamp('2026-03-07 00:07:12.173000'), Timestamp('2026-03-07 00:07:12.292000'), Timestamp('2026-03-07 00:07:13.122000'), Timestamp('2026-03-07 00:07:13.239000'), Timestamp('2026-03-07 00:07:13.423000'), Timestamp('2026-03-07 00:07:13.550000'), Timestamp('2026-03-07 00:07:14.423000'), Timestamp('2026-03-07 00:07:14.550000'), Timestamp('2026-03-07 00:07:14.742000'), Timestamp('2026-03-07 00:07:14.880000'), Timestamp('2026-03-07 00:07:15.812000'), Timestamp('2026-03-07 00:07:15.948000'), Timestamp('2026-03-07 00:07:16.174000'), Timestamp('2026-03-07 00:07:16.317000'), Timestamp('2026-03-07 00:07:17.264000'), Timestamp('2026-03-07 00:07:17.405000')]","[0.108, 0.716, 0.108, 0.178, 0.12, 0.788, 0.11, 0.177, 0.119, 0.83, 0.117, 0.184, 0.127, 0.873, 0.127, 0.192, 0.138, 0.932, 0.136, 0.226, 0.143, 0.947, 0.141]","[21.968998743192294, 21.851176665561816, 21.47651006711409, 21.309892189132192, 21.10144927536232, 21.11613876319759, 20.67603282793156, 20.490951834235418, 20.14745910520335, 20.20556130985579, 19.612032987212444, 19.356805736795245, 19.183135704874832, 19.15858841507091, 18.533094812164578, 18.32067741054357, 17.89451740671253, 17.868644684078205, 17.143349139484233, 16.81260945709282, 16.60904625497257, 16.63116844157792, 15.960199004975124, 15.560628709086753]","[2.3726518642647676, 15.64544249254226, 2.3194630872483217, 3.79316080966553, 2.5321739130434784, 16.639517345399703, 2.274363611072472, 3.6268984746596686, 2.3975476335191983, 16.770615887180302, 2.294607859503856, 3.561652255570325, 2.4362582345191037, 16.725447686356905, 2.3537030411449016, 3.517570062824366, 2.4694434021263296, 16.653576845560888, 2.331495482969856, 3.799649737302977, 2.3750936144610773, 15.74971651417429, 2.2503880597014922]",144.89043791481205,9.921816128464428
ADTC_8_adz_raw_20260307_0030,2026-03-07 00:22:18.308,2026-03-07 00:22:28.359,"[Timestamp('2026-03-07 00:22:28.359000'), Timestamp('2026-03-07 00:22:28.475000'), Timestamp('2026-03-07 00:22:29.300000'), Timestamp('2026-03-07 00:22:29.422000'), Timestamp('2026-03-07 00:22:29.657000'), Timestamp('2026-03-07 00:22:29.793000'), Timestamp('2026-03-07 00:22:30.644000'), Timestamp('2026-03-07 00:22:30.780000'), Timestamp('2026-03-07 00:22:31.025000'), Timestamp('2026-03-07 00:22:31.163000'), Timestamp('2026-03-07 00:22:32.070000'), Timestamp('2026-03-07 00:22:32.208000'), Timestamp('2026-03-07 00:22:32.472000'), Timestamp('2026-03-07 00:22:32.618000'), Timestamp('2026-03-07 00:22:33.577000'), Timestamp('2026-03-07 00:22:33.731000')]","[0.116, 0.825, 0.122, 0.235, 0.136, 0.851, 0.136, 0.245, 0.138, 0.907, 0.138, 0.264, 0.146, 0.959, 0.154]","[19.698296181561048, 19.454505137112868, 19.0354910977479, 18.77049869649315, 18.640846982173557, 18.77585633902889, 18.079673135852907, 17.950196592398427, 17.731933443850924, 17.675874545195846, 17.13063189262155, 16.84957321804678, 16.64278052693726, 16.689020190669517, 15.867811946757588, 15.718010488320555]","[2.2850023570610816, 16.049966738118115, 2.322329913925244, 4.41106719367589, 2.5351551895756037, 15.978253744513585, 2.4588355464759957, 4.397798165137615, 2.4470068152514277, 16.032018212492634, 2.3640272011817745, 4.44828732956435, 2.4298459569328394, 16.004770362852067, 2.4436430398006683]",96.60800776655888,9.921816128464428
ADTC_8_adz_raw_20260307_0040,2026-03-07 00:37:18.034,2026-03-07 00:37:28.083,"[Timestamp('2026-03-07 00:37:28.083000'), Timestamp('2026-03-07 00:37:28.201000'), Timestamp('2026-03-07 00:37:28.999000'), Timestamp('2026-03-07 00:37:29.119000'), Timestamp('2026-03-07 00:37:29.343000'), Timestamp('2026-03-07 00:37:29.473000'), Timestamp('2026-03-07 00:37:30.299000'), Timestamp('2026-03-07 00:37:30.424000'), Timestamp('2026-03-07 00:37:30.664000'), Timestamp('2026-03-07 00:37:30.798000'), Timestamp('2026-03-07 00:37:31.668000'), Timestamp('2026-03-07 00:37:31.795000'), Timestamp('2026-03-07 00:37:32.052000'), Timestamp('2026-03-07 00:37:32.190000'), Timestamp('2026-03-07 00:37:33.110000'), Timestamp('2026-03-07 00:37:33.247000')]","[0.118, 0.798, 0.12, 0.224, 0.13, 0.826, 0.125, 0.24, 0.134, 0.87, 0.127, 0.257, 0.138, 0.92, 0.137]","[20.14799154334038, 19.94253319872641, 19.572048481221007, 19.454505137112868, 19.146854593033893, 19.229411953418243, 18.586658269983356, 18.604651162790695, 18.285780628682552, 18.237318958238617, 17.712237415876064, 17.518481518481515, 17.504038933322697, 17.33665393191034, 16.739332688764435, 16.48128172027799]","[2.3774630021141645, 15.914141492583674, 2.3486458177465206, 4.357809150713282, 2.489091097094406, 15.883494273523468, 2.3233322837479196, 4.4651162790697665, 2.4502946042434623, 15.866467493667598, 2.24945415181626, 4.502249750249749, 2.415557372798532, 15.949721617357515, 2.2932885783607277]",95.88612696508704,9.921816128464428
ADTC_8_adz_raw_20260307_0150,2026-03-07 01:44:59.109,2026-03-07 01:45:09.160,"[Timestamp('2026-03-07 01:45:09.160000'), Timestamp('2026-03-07 01:45:09.261000'), Timestamp('2026-03-07 01:45:09.971000'), Timestamp('2026-03-07 01:45:10.080000'), Timestamp('2026-03-07 01:45:10.283000'), Timestamp('2026-03-07 01:45:10.391000'), Timestamp('2026-03-07 01:45:11.117000'), Timestamp('2026-03-07 01:45:11.229000'), Timestamp('2026-03-07 01:45:11.442000'), Timestamp('2026-03-07 01:45:11.552000'), Timestamp('2026-03-07 01:45:12.310000'), Timestamp('2026-03-07 01:45:12.419000'), Timestamp('2026-03-07 01:45:12.633000'), Timestamp('2026-03-07 01:45:12.753000'), Timestamp('2026-03-07 01:45:13.539000'), Timestamp('2026-03-07 01:45:13.653000')]","[0.101, 0.71, 0.109, 0.203, 0.108, 0.726, 0.112, 0.213, 0.11, 0.758, 0.109, 0.214, 0.12, 0.786, 0.114]","[22.920049915383167, 22.777371235575572, 22.387475538160473, 22.19753930280246, 22.12733414059015, 22.088693297224104, 21.537765034331848, 21.50835465903959, 21.517424173970664, 21.35706340378198, 21.01662762456347, 20.763770027217372, 20.62320017721332, 20.67795038256434, 20.008684324793748, 19.879951980792317]","[2.3149250414537, 16.171933577258656, 2.4402348336594915, 4.5061004784689, 2.3897520871837363, 16.0363913337847, 2.412229683845167, 4.581279542375433, 2.366916659136773, 16.18865406006674, 2.290812411077418, 4.443446785824517, 2.4747840212655983, 16.252869000695572, 2.2809900130264875]",97.15131952912289,9.921816128464428
ADTC_8_adz_raw_20260307_0250,2026-03-07 02:45:05.274,2026-03-07 02:45:15.333,"[Timestamp('2026-03-07 02:45:15.333000'), Timestamp('2026-03-07 02:45:15.463000'), Timestamp('2026-03-07 02:45:16.334000'), Timestamp('2026-03-07 02:45:16.459000'), Timestamp('2026-03-07 02:45:16.712000'), Timestamp('2026-03-07 02:45:16.849000'), Timestamp('2026-03-07 02:45:17.747000'), Timestamp('2026-03-07 02:45:17.880000'), Timestamp('2026-03-07 02:45:18.137000'), Timestamp('2026-03-07 02:45:18.285000'), Timestamp('2026-03-07 02:45:19.216000'), Timestamp('2026-03-07 02:45:19.358000'), Timestamp('2026-03-07 02:45:19.630000'), Timestamp('2026-03-07 02:45:19.780000'), Timestamp('2026-03-07 02:45:20.775000'), Timestamp('2026-03-07 02:45:20.926000')]","[0.13, 0.871, 0.125, 0.253, 0.137, 0.898, 0.133, 0.257, 0.148, 0.931, 0.142, 0.272, 0.15, 0.995, 0.151]","[18.501505772437127, 18.268332428028245, 18.233634677960477, 17.87709497206704, 17.843927819985282, 17.899368183998163, 17.550508848448388, 17.281742173828505, 17.220409660418156, 17.198947841149675, 16.68146162068153, 16.42574866075349, 16.37096352122259, 16.14215952251763, 15.3364416576709, 15.087407407407408]","[2.405195750416827, 15.911717544812602, 2.2792043347450597, 4.5229050279329615, 2.444618111337984, 16.07363262923035, 2.3342176768436356, 4.4414077386739255, 2.5486206297418867, 16.012220440110347, 2.368767550136777, 4.46780363572495, 2.455644528183388, 16.06144872490504, 2.3158026903083058]",96.64320701310403,9.921816128464428
ADTC_8_adz_raw_20260307_0350,2026-03-07 03:44:52.608,2026-03-07 03:45:02.660,"[Timestamp('2026-03-07 03:45:02.660000'), Timestamp('2026-03-07 03:45:02.774000'), Timestamp('2026-03-07 03:45:03.561000'), Timestamp('2026-03-07 03:45:03.679000'), Timestamp('2026-03-07 03:45:03.907000'), Timestamp('2026-03-07 03:45:04.033000'), Timestamp('2026-03-07 03:45:04.846000'), Timestamp('2026-03-07 03:45:04.968000'), Timestamp('2026-03-07 03:45:05.210000'), Timestamp('2026-03-07 03:45:05.339000'), Timestamp('2026-03-07 03:45:06.195000'), Timestamp('2026-03-07 03:45:06.321000'), Timestamp('2026-03-07 03:45:06.572000'), Timestamp('2026-03-07 03:45:06.708000'), Timestamp('2026-03-07 03:45:07.619000'), Timestamp('2026-03-07 03:45:07.750000')]","[0.114, 0.787, 0.118, 0.228, 0.126, 0.813, 0.122, 0.242, 0.129, 0.856, 0.126, 0.251, 0.136, 0.911, 0.131]","[20.560139048763368, 20.386668590390997, 19.89742003659888, 19.75442459141333, 19.696969696969695, 19.7438173747622, 19.085562511857333, 18.86233092458773, 18.735719725818736, 18.755795362183903, 18.130715783766817, 17.92731153097734, 17.76171209102672, 17.66869171221326, 17.05285476298652, 16.652324356852716]","[2.343855851559024, 16.044308180637714, 2.3478955643186676, 4.504008806842239, 2.4818181818181815, 16.05172352568167, 2.3284386264465944, 4.5646840837502305, 2.416907844630617, 16.054960830029422, 2.284470188754619, 4.499755194275313, 2.415592844379634, 16.09617814982628, 2.233923973951234]",96.66852184690144,9.921816128464428
ADTC_8_adz_raw_20260307_0450,2026-03-07 04:44:02.446,2026-03-07 04:44:12.550,"[Timestamp('2026-03-07 04:44:12.550000'), Timestamp('2026-03-07 04:44:12.648000'), Timestamp('2026-03-07 04:44:13.316000'), Timestamp('2026-03-07 04:44:13.414000'), Timestamp('2026-03-07 04:44:13.607000'), Timestamp('2026-03-07 04:44:13.624000'), Timestamp('2026-03-07 04:44:13.707000'), Timestamp('2026-03-07 04:44:14.374000'), Timestamp('2026-03-07 04:44:14.477000'), Timestamp('2026-03-07 04:44:14.659000'), Timestamp('2026-03-07 04:44:14.766000'), Timestamp('2026-03-07 04:44:15.437000'), Timestamp('2026-03-07 04:44:15.537000'), Timestamp('2026-03-07 04:44:15.726000'), Timestamp('2026-03-07 04:44:15.826000'), Timestamp('2026-03-07 04:44:16.495000'), Timestamp('2026-03-07 04:44:16.593000'), Timestamp('2026-03-07 04:44:16.788000'), Timestamp('2026-03-07 04:44:16.890000'), Timestamp('2026-03-07 04:44:17.552000'), Timestamp('2026-03-07 04:44:17.652000'), Timestamp('2026-03-07 04:44:17.843000'), Timestamp('2026-03-07 04:44:17.944000'), Timestamp('2026-03-07 04:44:18.611000'), Timestamp('2026-03-07 04:44:18.708000'), Timestamp('2026-03-07 04:44:18.893000'), Timestamp('2026-03-07 04:44:18.999000'), Timestamp('2026-03-07 04:44:19.668000'), Timestamp('2026-03-07 04:44:19.770000'), Timestamp('2026-03-07 04:44:19.956000'), Timestamp('2026-03-07 04:44:20.056000'), Timestamp('2026-03-07 04:44:20.723000'), Timestamp('2026-03-07 04:44:20.820000')]","[0.098, 0.668, 0.098, 0.193, 0.017, 0.083, 0.667, 0.103, 0.182, 0.107, 0.671, 0.1, 0.189, 0.1, 0.669, 0.098, 0.195, 0.102, 0.662, 0.1, 0.191, 0.101, 0.667, 0.097, 0.185, 0.106, 0.669, 0.102, 0.186, 0.1, 0.667, 0.097]","[23.762376237623766, 23.823686981581716, 24.000150000937502, 23.82148662627457, 24.181973922147137, 23.901895206243037, 23.958177744585516, 23.646611295479502, 23.94014962593516, 23.881188118811885, 23.947446999104216, 24.00135007594177, 24.063929235563155, 24.304420558770932, 24.12441043320137, 24.000150000937502, 24.000150000937502, 23.884291894367458, 24.304420558770932, 24.428113567936805, 24.00060001500038, 24.489955291774855, 24.304420558770932, 24.24628964672717, 24.00540121527344, 24.24304262428896, 24.437607280500046, 24.304420558770932, 24.371134020618562, 24.55242966751918, 24.679315608953388, 24.36799381523]","[2.328712871287129, 15.914222903696587, 2.352014700091875, 4.597546918870992, 0.4110935566765013, 1.9838573021181722, 15.98010455563854, 2.4356009634343887, 4.357107231920199, 2.555287128712872, 16.06873693639893, 2.400135007594177, 4.548082625521436, 2.4304420558770934, 16.139230579811716, 2.352014700091875, 4.680029250182813, 2.4361977732254805, 16.08952640990636, 2.4428113567936807, 4.584114602865073, 2.4734854844692604, 16.211048512700213, 2.3518900957325357, 4.440999224825586, 2.5697625181746298, 16.348759270654533, 2.479050896994635, 4.5330309278350525, 2.455242966751918, 16.46110351117191, 2.3636954000773103]",199.77493824010344,9.921816128464428
ADTC_8_adz_raw_20260307_0500,2026-03-07 04:56:05.856,2026-03-07 04:56:15.939,"[Timestamp('2026-03-07 04:56:15.939000'), Timestamp('2026-03-07 04:56:16.096000'), Timestamp('2026-03-07 04:56:17.214000'), Timestamp('2026-03-07 04:56:17.383000'), Timestamp('2026-03-07 04:56:17.711000'), Timestamp('2026-03-07 04:56:17.886000'), Timestamp('2026-03-07 04:56:19.051000'), Timestamp('2026-03-07 04:56:19.229000'), Timestamp('2026-03-07 04:56:19.570000'), Timestamp('2026-03-07 04:56:19.755000'), Timestamp('2026-03-07 04:56:20.988000'), Timestamp('2026-03-07 04:56:21.176000'), Timestamp('2026-03-07 04:56:21.536000'), Timestamp('2026-03-07 04:56:21.737000'), Timestamp('2026-03-07 04:56:23.027000'), Timestamp('2026-03-07 04:56:23.232000')]","[0.157, 1.1179999999999999, 0.169, 0.328, 0.175, 1.165, 0.178, 0.341, 0.185, 1.233, 0.188, 0.36, 0.201, 1.29, 0.205]","[14.470115177536972, 14.22236258602766, 13.965298349555649, 13.759116893356989, 13.924370172161357, 13.722681359044994, 13.269142595139844, 13.064706960622571, 12.955843115113872, 12.878785155899003, 12.469635627530364, 12.30868363822859, 12.307712537331588, 12.207756931375021, 11.955168119551681, 11.663445508328293]","[2.2718080828733047, 15.900601371178922, 2.360135421074905, 4.5129903410210925, 2.4367647801282373, 15.986923783287418, 2.361907381934892, 4.455065073572297, 2.3968309762960662, 15.87954209722347, 2.3442914979757083, 4.4311261097622925, 2.473850220003649, 15.748006441473779, 2.4508094645080947]",96.01065304231413,9.921816128464428
ADTC_8_adz_raw_20260307_0540,2026-03-07 05:39:28.758,2026-03-07 05:39:38.804,"[Timestamp('2026-03-07 05:39:38.804000'), Timestamp('2026-03-07 05:39:38.903000'), Timestamp('2026-03-07 05:39:39.593000'), Timestamp('2026-03-07 05:39:39.697000'), Timestamp('2026-03-07 05:39:39.892000'), Timestamp('2026-03-07 05:39:39.999000'), Timestamp('2026-03-07 05:39:40.708000'), Timestamp('2026-03-07 05:39:40.810000'), Timestamp('2026-03-07 05:39:41.015000'), Timestamp('2026-03-07 05:39:41.119000'), Timestamp('2026-03-07 05:39:41.850000'), Timestamp('2026-03-07 05:39:41.954000'), Timestamp('2026-03-07 05:39:42.164000'), Timestamp('2026-03-07 05:39:42.274000'), Timestamp('2026-03-07 05:39:43.029000'), Timestamp('2026-03-07 05:39:43.141000')]","[0.099, 0.69, 0.104, 0.195, 0.107, 0.709, 0.102, 0.205, 0.104, 0.731, 0.104, 0.21, 0.11, 0.755, 0.112]","[23.386981911408633, 23.19503697175906, 23.049252905368014, 22.804909013965293, 22.722689075630253, 22.541297601790248, 22.432968076916772, 22.197273456295108, 22.099307012524633, 22.115710892432983, 21.79816286765843, 21.554930599655265, 21.45468347350127, 21.391457114356747, 20.964296612755568, 20.767460569889053]","[2.3153112092294545, 16.00457551051375, 2.3971223021582735, 4.446957257723232, 2.431327731092437, 15.981779999669286, 2.2881627438455108, 4.550441058540497, 2.2983279293025616, 16.16658466236851, 2.2670089382364766, 4.526535425927605, 2.3600151820851396, 16.150550121339343, 2.348001220628624]",96.53270129266068,9.921816128464428
ADTC_8_adz_raw_20260307_0550,2026-03-07 05:45:20.469,2026-03-07 05:45:30.514,"[Timestamp('2026-03-07 05:45:30.514000'), Timestamp('2026-03-07 05:45:30.605000'), Timestamp('2026-03-07 05:45:31.227000'), Timestamp('2026-03-07 05:45:31.321000'), Timestamp('2026-03-07 05:45:31.473000'), Timestamp('2026-03-07 05:45:31.571000'), Timestamp('2026-03-07 05:45:32.229000'), Timestamp('2026-03-07 05:45:32.323000'), Timestamp('2026-03-07 05:45:32.466000'), Timestamp('2026-03-07 05:45:32.564000'), Timestamp('2026-03-07 05:45:33.229000'), Timestamp('2026-03-07 05:45:33.319000'), Timestamp('2026-03-07 05:45:33.457000'), Timestamp('2026-03-07 05:45:33.558000'), Timestamp('2026-03-07 05:45:34.220000'), Timestamp('2026-03-07 05:45:34.310000'), Timestamp('2026-03-07 05:45:34.452000'), Timestamp('2026-03-07 05:45:34.552000'), Timestamp('2026-03-07 05:45:35.210000'), Timestamp('2026-03-07 05:45:35.305000'), Timestamp('2026-03-07 05:45:35.456000'), Timestamp('2026-03-07 05:45:35.557000'), Timestamp('2026-03-07 05:45:36.177000'), Timestamp('2026-03-07 05:45:36.271000')]","[0.091, 0.622, 0.094, 0.152, 0.098, 0.658, 0.094, 0.143, 0.098, 0.665, 0.09, 0.138, 0.101, 0.662, 0.09, 0.142, 0.1, 0.658, 0.095, 0.151, 0.101, 0.62, 0.094]","[25.403225806451612, 25.01085540599219, 25.232095490716183, 25.06954671903126, 25.055124540628825, 25.274359827070167, 24.838666488151027, 25.163870223028404, 24.928934215312488, 25.135196265909975, 25.464907651715038, 25.370758273984073, 25.196850393700785, 25.207964327312073, 25.364382643658907, 24.84764876846631, 25.06954671903126, 25.1015134736065, 24.97969790482378, 25.163870223028404, 25.16421602308644, 25.274359827070167, 25.4658035462989, 25.296837895263096]","[2.3116935483870966, 15.556752062527142, 2.371816976127321, 3.810571101292751, 2.455402204981625, 16.63052876621217, 2.3348346498861967, 3.5984334418930612, 2.443035553100624, 16.714905516830136, 2.2918416886543533, 3.5011646418098024, 2.5448818897637793, 16.687672384680592, 2.2827944379293017, 3.528366125122216, 2.506954671903126, 16.516795865633078, 2.373071300958259, 3.799744403677289, 2.5415858183317304, 15.670103092783505, 2.3937855333520965]",144.86673567583725,9.921816128464428
