image,prediction,confidence
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0035.png,Trieb,99.40142035484314
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0113.png,Trieb,99.99821186065674
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0133.png,Trieb,99.99736547470093
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0151.png,Trieb,99.99961853027344
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0230.png,Trieb,99.99505281448364
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0332.png,Trieb,99.99643564224243
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0351.png,Trieb,99.99918937683105
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0431.png,Trieb,99.97945427894592
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0536.png,Trieb,99.77845549583435
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0606.png,Trieb,99.5919942855835
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0635.png,Trieb,99.6893048286438
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0735.png,Trieb,99.39940571784973
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0753.png,Trieb,99.99945163726807
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0805.png,Trieb,99.82280135154724
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0825.png,Trieb,99.99613761901855
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0835.png,Trieb,99.6063768863678
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0905.png,Trieb,99.8239278793335
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0935.png,Trieb,99.88875985145569
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_0955.png,Trieb,99.99946355819702
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1006.png,Trieb,99.5400607585907
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1025.png,Trieb,99.99891519546509
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1035.png,Trieb,99.92682337760925
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1105.png,Trieb,99.23790693283081
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1135.png,Trieb,99.6672511100769
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1154.png,Trieb,99.99873638153076
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1206.png,Trieb,96.2941586971283
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1235.png,Trieb,98.81933331489563
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1305.png,Trieb,92.30278134346008
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1335.png,Trieb,87.99826502799988
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1354.png,Trieb,99.99597072601318
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1405.png,Trieb,99.97839331626892
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1425.png,Trieb,99.99804496765137
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1435.png,Trieb,99.91369843482971
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1506.png,Trieb,99.87030029296875
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1536.png,Trieb,99.969482421875
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1554.png,Trieb,99.99080896377563
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1605.png,Trieb,99.42572116851807
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1625.png,Trieb,99.99526739120483
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1635.png,Trieb,99.8503565788269
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1705.png,Trieb,99.86907839775085
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1735.png,Trieb,99.24609065055847
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1755.png,Trieb,99.99957084655762
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1805.png,Trieb,94.56159472465515
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1825.png,Trieb,99.99829530715942
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1835.png,Trieb,96.1841881275177
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_1935.png,Trieb,98.5633909702301
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_2005.png,Trieb,99.9327540397644
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_2025.png,Trieb,99.99884366989136
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_2035.png,Trieb,98.85860085487366
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_2105.png,Trieb,99.62448477745056
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_2135.png,Trieb,89.37644958496094
C:/git/RailwAI/images/inference\D_05_adz_raw_20260301_2205.png,Trieb,98.65639209747314
C:/git/RailwAI/images/inference\D_05_adz_raw_20260302_0540.png,Trieb,99.51199293136597
